
前线声明公告,#genre#
东方卫视,http://api.itv.itv888.cn:8080/hls/p269fvbehye/index.m3u8
江苏卫视,http://api.itv.itv888.cn:8080/hls/g1upm1u239/index.m3u8
广东卫视,http://api.itv.itv888.cn:8080/hls/qr6872071g/index.m3u8
浙江卫视,http://api.itv.itv888.cn:8080/hls/urjqjvyf41q/index.m3u8
北京卫视,http://api.itv.itv888.cn:8080/hls/h5uud1z84gn/index.m3u8
深圳卫视,http://api.itv.itv888.cn:8080/hls/iftsd32ykm/index.m3u8
天津卫视,http://api.itv.itv888.cn:8080/hls/z2lkdkrb4w/index.m3u8
山东卫视,http://api.itv.itv888.cn:8080/hls/6gcdai13om5/index.m3u8
安徽卫视,http://api.itv.itv888.cn:8080/hls/m8hvytneunk/index.m3u8
江西卫视,http://api.itv.itv888.cn:8080/hls/pv0np60bpin/index.m3u8
黑龙江卫视,http://api.itv.itv888.cn:8080/hls/2a24lcvser/index.m3u8
四川卫视,http://api.itv.itv888.cn:8080/hls/p2npnppn96p/index.m3u8
贵州卫视,http://api.itv.itv888.cn:8080/hls/5dqtpf3arun/index.m3u8
湖北卫视,http://api.itv.itv888.cn:8080/hls/qwummpaoaq/index.m3u8
辽宁卫视,http://api.itv.itv888.cn:8080/hls/iibq0absdjr/index.m3u8
广西卫视,http://api.itv.itv888.cn:8080/hls/yvz4ndj9dqb/index.m3u8
重庆卫视,http://api.itv.itv888.cn:8080/hls/ogh3s6tbw6/index.m3u8
东南卫视,http://api.itv.itv888.cn:8080/hls/jjt15bvbl7a/index.m3u8
吉林卫视,http://api.itv.itv888.cn:8080/hls/b6dl8yuvu/index.m3u
海南卫视,http://api.itv.itv888.cn:8080/hls/c1cajhsgba8/index.m3u8

cctv1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
cctv2,http://120.40.39.246:352/newlive/live/hls/2/live.m3u8
cctv3,http://120.40.39.246:352/newlive/live/hls/3/live.m3u8
cctv4,http://120.40.39.246:352/newlive/live/hls/4/live.m3u8
cctv5,http://120.40.39.246:352/newlive/live/hls/5/live.m3u8
cctv5p,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8
cctv6,http://120.40.39.246:352/newlive/live/hls/7/live.m3u8
cctv7,http://120.40.39.246:352/newlive/live/hls/8/live.m3u8
cctv8,http://120.40.39.246:352/newlive/live/hls/9/live.m3u8
cctv9,http://120.40.39.246:352/newlive/live/hls/10/live.m3u8
cctv10,http://120.40.39.246:352/newlive/live/hls/11/live.m3u8
cctv12,http://120.40.39.246:352/newlive/live/hls/13/live.m3u8
cctv11,http://120.40.39.246:352/newlive/live/hls/12/live.m3u8
cctv14,http://120.40.39.246:352/newlive/live/hls/15/live.m3u8
cctv13,http://120.40.39.246:352/newlive/live/hls/14/live.m3u8
cctv15,http://120.40.39.246:352/newlive/live/hls/16/live.m3u8
东南卫视,http://120.40.39.246:352/newlive/live/hls/19/live.m3u8
福建综合,http://120.40.39.246:352/newlive/live/hls/18/live.m3u8
东方卫视,http://120.40.39.246:352/newlive/live/hls/20/live.m3u8
湖南卫视,http://120.40.39.246:352/newlive/live/hls/21/live.m3u8
江苏卫视,http://120.40.39.246:352/newlive/live/hls/22/live.m3u8
浙江卫视,http://120.40.39.246:352/newlive/live/hls/23/live.m3u8
河北卫视,http://120.40.39.246:352/newlive/live/hls/24/live.m3u8
广东卫视,http://120.40.39.246:352/newlive/live/hls/25/live.m3u8
山东卫视,http://120.40.39.246:352/newlive/live/hls/26/live.m3u8
湖北卫视,http://120.40.39.246:352/newlive/live/hls/27/live.m3u8
深圳卫视,http://120.40.39.246:352/newlive/live/hls/28/live.m3u8
黑龙江卫视,http://120.40.39.246:352/newlive/live/hls/29/live.m3u8
贵州卫视,http://120.40.39.246:352/newlive/live/hls/30/live.m3u8
天津卫视,http://120.40.39.246:352/newlive/live/hls/32/live.m3u8
安徽卫视,http://120.40.39.246:352/newlive/live/hls/31/live.m3u8
江西卫视,http://120.40.39.246:352/newlive/live/hls/34/live.m3u8
四川卫视,http://120.40.39.246:352/newlive/live/hls/33/live.m3u8
辽宁卫视,http://120.40.39.246:352/newlive/live/hls/35/live.m3u8
重庆卫视,http://120.40.39.246:352/newlive/live/hls/36/live.m3u8
北京卫视,http://120.40.39.246:352/newlive/live/hls/37/live.m3u8
河南卫视,http://120.40.39.246:352/newlive/live/hls/38/live.m3u8

综合港台频道,#genre#


凤凰卫视资讯台,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰卫视香港台,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
凤凰卫视中文台,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20060
凤凰资讯,http://iptv.4666888.xyz/iptv.php?id=20061
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20062
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20063
凤凰资讯,http://iptv.4666888.xyz/iptv.php?id=20064
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20065
天映经典,http://iptv.4666888.xyz/iptv.php?id=20114
天映经典2,http://iptv.4666888.xyz/iptv.php?id=20115
天映频道,http://iptv.4666888.xyz/iptv.php?id=20116
天映频道2,http://iptv.4666888.xyz/iptv.php?id=20117
TVBS新闻,http://iptv.4666888.xyz/iptv.php?id=20168
三立新闻,http://iptv.4666888.xyz/iptv.php?id=20169
三立iNEWS,http://iptv.4666888.xyz/iptv.php?id=20170
中视新闻,http://iptv.4666888.xyz/iptv.php?id=20171
台视新闻,http://iptv.4666888.xyz/iptv.php?id=20172
中天新闻,http://iptv.4666888.xyz/iptv.php?id=20173
东森新闻,http://iptv.4666888.xyz/iptv.php?id=20174
寰宇新闻,http://iptv.4666888.xyz/iptv.php?id=20176
寰宇新闻台湾,http://iptv.4666888.xyz/iptv.php?id=20293
民视新闻,http://iptv.4666888.xyz/iptv.php?id=20177
年代新闻,http://iptv.4666888.xyz/iptv.php?id=20178
非凡新闻,http://iptv.4666888.xyz/iptv.php?id=20179
摬新闻,http://iptv.4666888.xyz/iptv.php?id=20180

明珠台(1),http://o12.1678520.xyz/hls/mzt/playlist.m3u8
plus,http://free.cnlive.club/channel/6429ae4c.m3u8

凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8

五星体育,https://gdcucc.v1.mk/gdcucc/wxty.m3u8


央卫综合频道,#genre#
CCTV1,http://api.itv.itv888.cn:8080/hls/f5fuln3kthe/index.m3u8
CCTV2,http://api.itv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
CCTV3,http://api.itv.itv888.cn:8080/hls/aikp69mli0d/index.m3u8
CCTV4,http://api.itv.itv888.cn:8080/hls/25uo2rutach/index.m3u8
CCTV5,http://api.itv.itv888.cn:8080/hls/7vx0ia55les/index.m3u8
CCTV6,http://api.itv.itv888.cn:8080/hls/tp9ajk4od5/index.m3u8
CCTV7,http://api.itv.itv888.cn:8080/hls/3udggaszi1i/index.m3u8
CCTV8,http://api.itv.itv888.cn:8080/hls/vseo1nm7qp/index.m3u8
CCTV9,http://api.itv.itv888.cn:8080/hls/bsmkmf3jrp4/index.m3u8
CCTV10,http://api.itv.itv888.cn:8080/hls/wd86wxjxn8/index.m3u8
CCTV11,http://api.itv.itv888.cn:8080/hls/og4kq4cnqm/index.m3u8
CCTV12,http://api.itv.itv888.cn:8080/hls/nwfb31kwc3l/index.m3u8
CCTV13,http://api.itv.itv888.cn:8080/hls/9sxg4yjgot/index.m3u8
CCTV14,http://api.itv.itv888.cn:8080/hls/dyfpqk8fpzi/index.m3u8
CCTV15,http://api.itv.itv888.cn:8080/hls/hcwu4ianhgw/index.m3u8
CCTV16,http://api.itv.itv888.cn:8080/hls/qazacsm0hgl/index.m3u8
CCTV17,http://api.itv.itv888.cn:8080/hls/5t4bgijh9da/index.m3u8
CCTV5+,http://api.itv.itv888.cn:8080/hls/xsb4znrv3c/index.m3u8
湖南卫视,http://api.itv.itv888.cn:8080/hls/hoxiunz7ce/index.m3u8
东方卫视,http://api.itv.itv888.cn:8080/hls/p269fvbehye/index.m3u8
江苏卫视,http://api.itv.itv888.cn:8080/hls/g1upm1u239/index.m3u8
广东卫视,http://api.itv.itv888.cn:8080/hls/qr6872071g/index.m3u8
浙江卫视,http://api.itv.itv888.cn:8080/hls/urjqjvyf41q/index.m3u8
北京卫视,http://api.itv.itv888.cn:8080/hls/h5uud1z84gn/index.m3u8
深圳卫视,http://api.itv.itv888.cn:8080/hls/iftsd32ykm/index.m3u8
天津卫视,http://api.itv.itv888.cn:8080/hls/z2lkdkrb4w/index.m3u8
山东卫视,http://api.itv.itv888.cn:8080/hls/6gcdai13om5/index.m3u8
安徽卫视,http://api.itv.itv888.cn:8080/hls/m8hvytneunk/index.m3u8
江西卫视,http://api.itv.itv888.cn:8080/hls/pv0np60bpin/index.m3u8
黑龙江卫视,http://api.itv.itv888.cn:8080/hls/2a24lcvser/index.m3u8
四川卫视,http://api.itv.itv888.cn:8080/hls/p2npnppn96p/index.m3u8
贵州卫视,http://api.itv.itv888.cn:8080/hls/5dqtpf3arun/index.m3u8
湖北卫视,http://api.itv.itv888.cn:8080/hls/qwummpaoaq/index.m3u8
辽宁卫视,http://api.itv.itv888.cn:8080/hls/iibq0absdjr/index.m3u8
广西卫视,http://api.itv.itv888.cn:8080/hls/yvz4ndj9dqb/index.m3u8
重庆卫视,http://api.itv.itv888.cn:8080/hls/ogh3s6tbw6/index.m3u8
东南卫视,http://api.itv.itv888.cn:8080/hls/jjt15bvbl7a/index.m3u8
吉林卫视,http://api.itv.itv888.cn:8080/hls/b6dl8yuvu/index.m3u
海南卫视,http://api.itv.itv888.cn:8080/hls/c1cajhsgba8/index.m3u8

CCTV1,http://nas.swes.cn:8089/udp/239.93.0.184:5140
CCTV2,http://nas.swes.cn:8089/udp/239.93.1.23:6000
CCTV4,http://nas.swes.cn:8089/udp/239.93.1.105:5140
CCTV5,http://nas.swes.cn:8089/udp/239.93.42.37:5140
CCTV5+,http://nas.swes.cn:8089/udp/239.93.1.36:8004
CCTV7,http://nas.swes.cn:8089/udp/239.93.1.67:5140
CCTV8,http://nas.swes.cn:8089/udp/239.93.42.39:5140
CCTV9,http://nas.swes.cn:8089/udp/239.93.1.24:5140
CCTV10,http://nas.swes.cn:8089/udp/239.93.1.28:5140
CCTV11,http://nas.swes.cn:8089/udp/239.93.0.102:5140
CCTV12,http://nas.swes.cn:8089/udp/239.93.1.30:8124
CCTV13,http://nas.swes.cn:8089/udp/239.93.0.66:5140
CCTV14,http://nas.swes.cn:8089/udp/239.93.1.29:6000
CCTV15,http://nas.swes.cn:8089/udp/239.93.0.103:5140
CCTV17,http://nas.swes.cn:8089/udp/239.93.0.92:5140
湖南卫视,http://nas.swes.cn:8089/udp/239.93.0.88:5140
四川卫视,http://nas.swes.cn:8089/udp/239.93.0.20:1235
江苏卫视,http://nas.swes.cn:8089/udp/239.93.0.89:5140
浙江卫视,http://nas.swes.cn:8089/udp/239.93.0.124:5140
东方卫视,http://nas.swes.cn:8089/udp/239.93.0.123:5140
北京卫视,http://nas.swes.cn:8089/udp/239.93.0.180:5140
深圳卫视,http://nas.swes.cn:8089/udp/239.93.0.182:5140
广东卫视,http://nas.swes.cn:8089/udp/239.93.0.181:5140
天津卫视,http://nas.swes.cn:8089/udp/239.93.0.167:5140
山东卫视,http://nas.swes.cn:8089/udp/239.93.0.168:5140
康巴卫视,http://nas.swes.cn:8089/udp/239.93.0.41:5140
江西卫视,http://nas.swes.cn:8089/udp/239.93.0.134:5140
东南卫视,http://nas.swes.cn:8089/udp/239.93.0.42:5140
重庆卫视,http://nas.swes.cn:8089/udp/239.93.1.107:5140
贵州卫视,http://nas.swes.cn:8089/udp/239.93.0.131:5140
湖北卫视,http://nas.swes.cn:8089/udp/239.93.0.250:5140
安徽卫视,http://nas.swes.cn:8089/udp/239.93.1.106:5140
河北卫视,http://nas.swes.cn:8089/udp/239.93.0.132:5140
辽宁卫视,http://nas.swes.cn:8089/udp/239.93.1.108:5140
云南卫视,http://nas.swes.cn:8089/udp/239.93.1.174:5140
河南卫视,http://nas.swes.cn:8089/udp/239.93.42.45:5140
广西卫视,http://nas.swes.cn:8089/udp/239.93.42.46:5140
黑龙江卫视,http://nas.swes.cn:8089/udp/239.93.0.183:5140

CCTV1,http://daixuan201.com:8188/rtp/239.254.100.96:8550
CCTV2,http://daixuan201.com:8188/rtp/239.69.1.102:10250
CCTV3,http://daixuan201.com:8188/rtp/239.69.1.122:10370
CCTV4,http://daixuan201.com:8188/rtp/239.69.1.138:10466
CCTV5,http://daixuan201.com:8188/rtp/239.69.1.123:10376
CCTV5+,http://daixuan201.com:8188/rtp/239.254.100.234:9484
CCTV6,http://daixuan201.com:8188/rtp/239.69.1.124:10382
CCTV7,http://daixuan201.com:8188/rtp/239.69.1.103:10256
CCTV8,http://daixuan201.com:8188/rtp/239.69.1.125:10388
CCTV9,http://daixuan201.com:8188/rtp/239.69.1.104:10262
CCTV10,http://daixuan201.com:8188/rtp/239.69.1.105:10268
CCTV11,http://daixuan201.com:8188/rtp/239.69.1.154:10560
CCTV12,http://daixuan201.com:8188/rtp/239.69.1.106:10274
CCTV13,http://daixuan201.com:8188/rtp/239.254.100.161:9040
CCTV14,http://daixuan201.com:8188/rtp/239.69.1.107:10280
CCTV15,http://daixuan201.com:8188/rtp/239.69.1.155:10566
CCTV16,http://daixuan201.com:8188/rtp/239.69.1.247:11124
CCTV17,http://daixuan201.com:8188/rtp/239.69.1.152:10548
湖南卫视,http://daixuan201.com:8188/rtp/239.254.100.139:8908
湖北卫视,http://daixuan201.com:8188/rtp/239.254.100.115:8664
浙江卫视,http://daixuan201.com:8188/rtp/239.254.100.143:8932
江苏卫视,http://daixuan201.com:8188/rtp/239.254.100.144:8938
东方卫视,http://daixuan201.com:8188/rtp/239.254.100.142:8926
北京卫视,http://daixuan201.com:8188/rtp/239.254.100.141:8920
广东卫视,http://daixuan201.com:8188/rtp/239.254.100.140:8914
深圳卫视,http://daixuan201.com:8188/rtp/239.254.100.137:8896
黑龙江卫视,http://daixuan201.com:8188/rtp/239.254.100.138:8902
天津卫视,http://daixuan201.com:8188/rtp/239.69.1.68:10048
山东卫视,http://daixuan201.com:8188/rtp/239.69.1.69:10054
安徽卫视,http://daixuan201.com:8188/rtp/239.69.1.70:10060
辽宁卫视,http://daixuan201.com:8188/rtp/239.69.1.71:10066
东南卫视,http://daixuan201.com:8188/rtp/239.69.1.108:10286
江西卫视,http://daixuan201.com:8188/rtp/239.69.1.126:10394
重庆卫视,http://daixuan201.com:8188/rtp/239.69.1.149:10530
贵州卫视,http://daixuan201.com:8188/rtp/239.69.1.150:10536
河南卫视,http://daixuan201.com:8188/rtp/239.69.1.168:10644
四川卫视,http://daixuan201.com:8188/rtp/239.69.1.169:10650
河北卫视,http://daixuan201.com:8188/rtp/239.69.1.157:10578
海南卫视,http://daixuan201.com:8188/rtp/239.69.1.151:10542
广西卫视,http://daixuan201.com:8188/rtp/239.69.1.191:10788
吉林卫视,http://daixuan201.com:8188/rtp/239.69.1.212:10914
山西卫视,http://daixuan201.com:8188/rtp/239.254.100.93:8532
云南卫视,http://daixuan201.com:8188/rtp/239.254.100.30:8154
西藏卫视,http://daixuan201.com:8188/rtp/239.254.100.35:8184
内蒙古卫视,http://daixuan201.com:8188/rtp/239.254.100.41:8220
新疆卫视,http://daixuan201.com:8188/rtp/239.254.100.47:8256
兵团卫视,http://daixuan201.com:8188/rtp/239.254.100.48:8262
青海卫视,http://daixuan201.com:8188/rtp/239.254.100.95:8544
河北卫视,http://daixuan201.com:8188/rtp/239.254.100.185:9190
陕西卫视,http://daixuan201.com:8188/rtp/239.254.100.186:9196
甘肃卫视,http://daixuan201.com:8188/rtp/239.254.100.187:9202
三沙卫视,http://daixuan201.com:8188/rtp/239.69.1.171:10662

CCTV1,http://home.sylaigym.top:8887/udp/239.254.96.96:8550
CCTV2,http://home.sylaigym.top:8887/udp/239.69.1.102:10250
CCTV3,http://home.sylaigym.top:8887/udp/239.69.1.122:10370
CCTV4,http://home.sylaigym.top:8887/udp/239.69.1.138:10466
CCTV5,http://home.sylaigym.top:8887/udp/239.69.1.123:10376
CCTV5+,http://home.sylaigym.top:8887/udp/239.254.96.234:9484
CCTV5+,http://home.sylaigym.top:8887/udp/239.69.1.12:9712
CCTV6,http://home.sylaigym.top:8887/udp/239.69.1.124:10382
CCTV7,http://home.sylaigym.top:8887/udp/239.69.1.103:10256
CCTV8,http://home.sylaigym.top:8887/udp/239.69.1.125:10388
CCTV9,http://home.sylaigym.top:8887/udp/239.69.1.104:10262
CCTV10,http://home.sylaigym.top:8887/udp/239.69.1.105:10268
CCTV11,http://home.sylaigym.top:8887/udp/239.69.1.154:10560
CCTV12,http://home.sylaigym.top:8887/udp/239.69.1.106:10274
CCTV13,http://home.sylaigym.top:8887/udp/239.254.96.161:9040
CCTV14,http://home.sylaigym.top:8887/udp/239.69.1.107:10280
CCTV15,http://home.sylaigym.top:8887/udp/239.69.1.155:10566
CCTV16,http://home.sylaigym.top:8887/udp/239.69.1.247:11124
CCTV17,http://home.sylaigym.top:8887/udp/239.69.1.152:10548
湖南卫视,http://home.sylaigym.top:8887/udp/239.254.96.139:8908
东方卫视,http://home.sylaigym.top:8887/udp/239.254.96.142:8926
浙江卫视,http://home.sylaigym.top:8887/udp/239.254.96.143:8932
江苏卫视,http://home.sylaigym.top:8887/udp/239.254.96.144:8938
北京卫视,http://home.sylaigym.top:8887/udp/239.254.96.141:8920
广东卫视,http://home.sylaigym.top:8887/udp/239.254.96.140:8914
深圳卫视,http://home.sylaigym.top:8887/udp/239.254.96.137:8896
湖北卫视,http://home.sylaigym.top:8887/udp/239.254.96.115:8664
河北卫视,http://home.sylaigym.top:8887/udp/239.254.96.113:9616
黑龙江卫视,http://home.sylaigym.top:8887/udp/239.254.96.138:8902
天津卫视,http://home.sylaigym.top:8887/udp/239.69.1.68:10048
山东卫视,http://home.sylaigym.top:8887/udp/239.69.1.69:10054
安徽卫视,http://home.sylaigym.top:8887/udp/239.69.1.70:10060
辽宁卫视,http://home.sylaigym.top:8887/udp/239.69.1.71:10066
东南卫视,http://home.sylaigym.top:8887/udp/239.69.1.108:10286
江西卫视,http://home.sylaigym.top:8887/udp/239.69.1.126:10394
重庆卫视,http://home.sylaigym.top:8887/udp/239.69.1.149:10530
贵州卫视,http://home.sylaigym.top:8887/udp/239.69.1.150:10536
海南卫视,http://home.sylaigym.top:8887/udp/239.69.1.151:10542
河南卫视,http://home.sylaigym.top:8887/udp/239.69.1.168:10644
四川卫视,http://home.sylaigym.top:8887/udp/239.69.1.169:10650
广西卫视,http://home.sylaigym.top:8887/udp/239.69.1.191:10788
吉林卫视,http://home.sylaigym.top:8887/udp/239.69.1.212:10914
河北卫视,http://home.sylaigym.top:8887/udp/239.69.1.157:10578
东方卫视,http://home.sylaigym.top:8887/udp/239.69.1.173:10674
江苏卫视,http://home.sylaigym.top:8887/udp/239.69.1.174:10680

CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV2,http://zqh2333.top:2222/rtp/239.93.24.59:5140
CCTV4,http://zqh2333.top:2222/rtp/239.93.25.105:5140
CCTV7,http://zqh2333.top:2222/rtp/239.93.24.61:5140
CCTV8,http://zqh2333.top:2222/rtp/239.93.55.39:5140
CCTV9,http://zqh2333.top:2222/rtp/239.93.25.24:5140
CCTV10,http://zqh2333.top:2222/rtp/239.93.25.28:5140
CCTV11,http://zqh2333.top:2222/rtp/239.93.24.102:5140
CCTV12,http://zqh2333.top:2222/rtp/239.93.25.30:8124
CCTV13,http://zqh2333.top:2222/rtp/239.93.24.66:5140
CCTV14,http://zqh2333.top:2222/rtp/239.93.25.29:6000
CCTV15,http://zqh2333.top:2222/rtp/239.93.24.103:5140
CCTV17,http://zqh2333.top:2222/rtp/239.93.24.92:5140
北京卫视,http://zqh2333.top:2222/rtp/239.93.24.180:5140
天津卫视,http://zqh2333.top:2222/rtp/239.93.24.167:5140
东方卫视,http://zqh2333.top:2222/rtp/239.93.24.123:5140
东南卫视,http://zqh2333.top:2222/rtp/239.93.24.42:5140
海南卫视,http://zqh2333.top:2222/rtp/239.93.24.80:5140
广东卫视,http://zqh2333.top:2222/rtp/239.93.24.181:5140
广西卫视,http://zqh2333.top:2222/rtp/239.93.55.46:5140
深圳卫视,http://zqh2333.top:2222/rtp/239.93.24.182:5140
江苏卫视,http://zqh2333.top:2222/rtp/239.93.24.89:5140
江西卫视,http://zqh2333.top:2222/rtp/239.93.24.134:5140
浙江卫视,http://zqh2333.top:2222/rtp/239.93.24.124:5140
湖南卫视,http://zqh2333.top:2222/rtp/239.93.24.88:5140
湖北卫视,http://zqh2333.top:2222/rtp/239.93.24.250:5140
安徽卫视,http://zqh2333.top:2222/rtp/239.93.25.106:5140
山东卫视,http://zqh2333.top:2222/rtp/239.93.24.168:5140
山西卫视,http://zqh2333.top:2222/rtp/239.93.24.6:5140
教育卫视,http://zqh2333.top:2222/rtp/239.93.25.196:5140
河南卫视,http://zqh2333.top:2222/rtp/239.93.55.45:5140
河北卫视,http://zqh2333.top:2222/rtp/239.93.24.132:5140
厦门卫视,http://zqh2333.top:2222/rtp/239.93.55.57:5140
吉林卫视,http://zqh2333.top:2222/rtp/239.93.24.248:5140
辽宁卫视,http://zqh2333.top:2222/rtp/239.93.25.108:5140
云南卫视,http://zqh2333.top:2222/rtp/239.93.25.174:5140
贵州卫视,http://zqh2333.top:2222/rtp/239.93.24.131:5140
重庆卫视,http://zqh2333.top:2222/rtp/239.93.25.107:5140
陕西卫视,http://zqh2333.top:2222/rtp/239.93.25.205:5140
甘肃卫视,http://zqh2333.top:2222/rtp/239.93.24.81:5140
宁夏卫视,http://zqh2333.top:2222/rtp/239.93.24.247:5140
青海卫视,http://zqh2333.top:2222/rtp/239.93.24.192:5140
西藏卫视,http://zqh2333.top:2222/rtp/239.93.24.175:5140
新疆卫视,http://zqh2333.top:2222/rtp/239.93.24.194:5140
兵团卫视,http://zqh2333.top:2222/rtp/239.93.55.43:5140
三沙卫视,http://zqh2333.top:2222/rtp/239.93.55.58:5140
黑龙江卫视,http://zqh2333.top:2222/rtp/239.93.24.183:5140
内蒙古卫视,http://zqh2333.top:2222/rtp/239.93.24.8:5140

CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1 
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2 
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3 
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4 
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5 
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p 
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6 
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7 
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8 
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9 
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10 
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11 
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12 
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13 
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14 
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15 
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16 
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17 
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws 
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws 
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws 
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws 
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws 
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws 
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws 
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws 
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws 
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws 
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws 
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws 
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws 
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws 
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws 
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws 
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws 
